"Ref INS","INE","Municipi","Comarca","Instal·lació","Ubicació UTMX","Ubicació UTMY","Latitud","Longitud","Tipus propietat","Tipus gestió","Titularitat","URL CEEC","CAM","ATL","PAL","PCO","POL","PAV","TEN","PAD","SAL","ESQ","FRO","PET","CON","HIP","GOL","CIR","ROC","SIN","URB","NAT","BIC","ITI","VES","GRA","MAG","SER","AER","POR","REF","COM","Georeferència"
"0801160013","080116","Avià","Berguedà","CASA LLUERT 1 I 2","401111","4657975","42,06761815","1,804685266","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.804685266 42.06761815)"
"0801420011","080142","Aiguafreda","Vallès Oriental","CAN BELLIT","437725","4624615","41,77093359","2,250730145","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/22471","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.250730145 41.77093359)"
"0801550140","080155","Badalona","Barcelonès","PISCINA MUNICIPAL MIREIA BELMONTE","437335","4588548","41,44606524","2,249810994","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/26055","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","POINT (2.249810994 41.44606524)"
"0801930559","080193","Barcelona","Barcelonès","ESCOLA BUDO SENSEI","428021","4581478","41,38160769","2,139161652","Altres privats","Altres privats","Privada no esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/19554","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","POINT (2.139161652 41.38160769)"
"0801930828","080193","Barcelona","Barcelonès","ESCOLA PALMA DE MALLORCA","431316","4587169","41,43315269","2,17791859","Ajuntament","Centre ensenyament infantil i primaria (CEIP)","Pública educativa","No publicada","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","4","0","2","0","0","0","0","0","POINT (2.17791859 41.43315269)"
"0801931290","080193","Barcelona","Barcelonès","COMUNITAT DEL C. DE BELTRÁN I RÓZPIDE, 4-8","426554","4582324","41,38909467","2,121516356","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.121516356 41.38909467)"
"0802720007","080272","Cabanyes, les","Alt Penedès","CIRCUIT URBÀ","390327","4581284","41,37560592","1,688486325","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/25365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.688486325 41.37560592)"
"0804620037","080462","Cardedeu","Vallès Oriental","CARRIL BICI PL. JOAN ALSINA","446775","4610212","41,64187051","2,360895333","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/22720","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (2.360895333 41.64187051)"
"0805430013","080543","Castellbisbal","Vallès Occidental","DOJO BUDOKAN","414951","4592004","41,47513096","1,981391062","Altres privats","Altres privats","Privada no esportiva","No publicada","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.981391062 41.47513096)"
"0805690074","080569","Castelldefels","Baix Llobregat","COMUNITAT DEL PG. MARÍTIM, 198","413902","4568829","41,26630034","1,972120281","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.972120281 41.26630034)"
"0809610001","080961","Granollers","Vallès Oriental","PISTES DE PETANCA CAN BASSA","440518","4604541","41,59035199","2,286332374","Ajuntament","Ajuntament","Pública directa","No publicada","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.286332374 41.59035199)"
"0809610063","080961","Granollers","Vallès Oriental","NÀSTIC GIM","440533","4606029","41,60375493","2,286364709","Privat esportiu","Privat esportiu","Privada esportiva","No publicada","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","POINT (2.286364709 41.60375493)"
"0810430015","081043","Llacuna, la","Anoia","CA L'AMERICANO","377685","4592228","41,47233057","1,535139573","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.535139573 41.47233057)"
"0811080011","081108","Malgrat de Mar","Maresme","CÀMPING RESORT ELS PINS","480871","4610749","41,64825455","2,770283395","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","4","0","0","1","0","0","0","0","POINT (2.770283395 41.64825455)"
"0812130009","081213","Mataró","Maresme","CENTRE CATÒLIC DE MATARÓ","453595","4599093","41,54214911","2,443643787","Institució religiosa","Privat esportiu","Privada esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/27007","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","POINT (2.443643787 41.54214911)"
"0812650033","081265","Montgat","Maresme","CAMP MUNICIPAL D'ESPORTS","439436","4591018","41,46847329","2,274713169","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/26778","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","POINT (2.274713169 41.46847329)"
"0812650062","081265","Montgat","Maresme","COMUNITAT DE LA RONDA 8 DE MARÇ, 72","440437","4591324","41,47130433","2,286669576","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.286669576 41.47130433)"
"0812900006","081290","Muntanyola","Osona","MAS POSTIUS","428015","4637251","41,88391099","2,13237978","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.13237978 41.88391099)"
"0814770014","081477","Olesa de Montserrat","Baix Llobregat","GIMNAS SIR","407830","4599366","41,54064461","1,894992505","Privat esportiu","Privat esportiu","Privada esportiva","No publicada","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","POINT (1.894992505 41.54064461)"
"0815160005","081516","Oristà","Osona","ESCOLA LLEVANT - ZER GAVARRESA","422013","4642745","41,93281846","2,059321837","Ajuntament","Ajuntament","Pública directa","No publicada","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.059321837 41.93281846)"
"0816880004","081688","Pontons","Alt Penedès","CENTRE CULTURAL","376063","4585871","41,41483986","1,517024624","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/25435","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","POINT (1.517024624 41.41483986)"
"0817270037","081727","Premià de Mar","Maresme","ACTIVAT","446508","4593575","41,49200679","2,359171944","Altres privats","Privat esportiu","Privada esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/27092","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","POINT (2.359171944 41.49200679)"
"0819760012","081976","Sant Andreu de Llavaneres","Maresme","COMUNITAT DEL C. FORNACA, 7-9","456700","4602188","41,57019983","2,48064544","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.48064544 41.57019983)"
"0820090019","082009","Sant Boi de Llobregat","Baix Llobregat","HOTEL EL CASTELL","419987","4577488","41,34491327","2,043616961","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","POINT (2.043616961 41.34491327)"
"0820550126","082055","Sant Cugat del Vallès","Vallès Occidental","COL·LEGI CREA NOVA","421211","4592524","41,48045368","2,056287299","Altres privats","Altres privats","Privada no esportiva","No publicada","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","POINT (2.056287299 41.48045368)"
"0820550453","082055","Sant Cugat del Vallès","Vallès Occidental","COMUNITAT DEL C. DE VERDI, 48","423597","4590587","41,4632393","2,085107922","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.085107922 41.4632393)"
"0821400001","082140","Vilassar de Dalt","Maresme","LLAR-RESIDÈNCIA TORREMAR","446072","4596588","41,51911527","2,353679207","Generalitat de Catalunya","Altres privats","Pública indirecta","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","POINT (2.353679207 41.51911527)"
"0822050016","082205","Sant Julià de Vilatorta","Osona","EL BOSC DEL QUER","443626","4639504","41,90546929","2,320306261","Privat turístic","Privat turístic","Privada residencial i turística","No publicada","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.320306261 41.90546929)"
