any;comarca o Aran;concepte;estat;valor
2011;Alt Camp;PIB (milions €);;1163,7
2011;Alt Camp;PIB per habitant (€);;25880
2011;Alt Camp;PIB per habitant (índex Catalunya=100);;93,3
2011;Alt Empordà;PIB (milions €);;2936,9
2011;Alt Empordà;PIB per habitant (€);;21188
2011;Alt Empordà;PIB per habitant (índex Catalunya=100);;76,4
2011;Alt Penedès;PIB (milions €);;2928,6
2011;Alt Penedès;PIB per habitant (€);;27727
2011;Alt Penedès;PIB per habitant (índex Catalunya=100);;100,0
2011;Alt Urgell;PIB (milions €);;408,0
2011;Alt Urgell;PIB per habitant (€);;19075
2011;Alt Urgell;PIB per habitant (índex Catalunya=100);;68,8
2011;Alta Ribagorça;PIB (milions €);;109,2
2011;Alta Ribagorça;PIB per habitant (€);;25966
2011;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;93,6
2011;Anoia;PIB (milions €);;2329,9
2011;Anoia;PIB per habitant (€);;19678
2011;Anoia;PIB per habitant (índex Catalunya=100);;70,9
2011;Aran;PIB (milions €);;339,4
2011;Aran;PIB per habitant (€);;33725
2011;Aran;PIB per habitant (índex Catalunya=100);;121,6
2011;Bages;PIB (milions €);;4257,7
2011;Bages;PIB per habitant (€);;24121
2011;Bages;PIB per habitant (índex Catalunya=100);;87,0
2011;Baix Camp;PIB (milions €);;4373,4
2011;Baix Camp;PIB per habitant (€);;22828
2011;Baix Camp;PIB per habitant (índex Catalunya=100);;82,3
2011;Baix Ebre;PIB (milions €);;1660,8
2011;Baix Ebre;PIB per habitant (€);;20333
2011;Baix Ebre;PIB per habitant (índex Catalunya=100);;73,3
2011;Baix Empordà;PIB (milions €);;2625,3
2011;Baix Empordà;PIB per habitant (€);;19887
2011;Baix Empordà;PIB per habitant (índex Catalunya=100);;71,7
2011;Baix Llobregat;PIB (milions €);;22471,9
2011;Baix Llobregat;PIB per habitant (€);;28070
2011;Baix Llobregat;PIB per habitant (índex Catalunya=100);;101,2
2011;Baix Penedès;PIB (milions €);;1638,0
2011;Baix Penedès;PIB per habitant (€);;16310
2011;Baix Penedès;PIB per habitant (índex Catalunya=100);;58,8
2011;Barcelonès;PIB (milions €);;76535,9
2011;Barcelonès;PIB per habitant (€);;34196
2011;Barcelonès;PIB per habitant (índex Catalunya=100);;123,3
2011;Berguedà;PIB (milions €);;827,9
2011;Berguedà;PIB per habitant (€);;20054
2011;Berguedà;PIB per habitant (índex Catalunya=100);;72,3
2011;Cerdanya;PIB (milions €);;386,2
2011;Cerdanya;PIB per habitant (€);;20641
2011;Cerdanya;PIB per habitant (índex Catalunya=100);;74,4
2011;Conca de Barberà;PIB (milions €);;603,9
2011;Conca de Barberà;PIB per habitant (€);;28642
2011;Conca de Barberà;PIB per habitant (índex Catalunya=100);;103,3
2011;Garraf;PIB (milions €);;2553,7
2011;Garraf;PIB per habitant (€);;17615
2011;Garraf;PIB per habitant (índex Catalunya=100);;63,5
2011;Garrigues;PIB (milions €);;358,0
2011;Garrigues;PIB per habitant (€);;17807
2011;Garrigues;PIB per habitant (índex Catalunya=100);;64,2
2011;Garrotxa;PIB (milions €);;1423,5
2011;Garrotxa;PIB per habitant (€);;25704
2011;Garrotxa;PIB per habitant (índex Catalunya=100);;92,7
2011;Gironès;PIB (milions €);;5463,6
2011;Gironès;PIB per habitant (€);;30028
2011;Gironès;PIB per habitant (índex Catalunya=100);;108,3
2011;Lluçanès;PIB (milions €);..;null
2011;Lluçanès;PIB per habitant (€);..;null
2011;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
